"County","State","pct_more_65y","pct_less_18y","pct_high_school","pct_asian","pct_black","pct_latino","pct_white","pct_homeownership","households","housing_units","median_value_occupied_units","pers_houshold","median_household_income","income_capita","land_area","lang_other_eng","living_same_house","mean_travel_time_work","pct_female","veterans","pop_2020","pop_2010","pop_square_mile","retail_sales","total_firms","party","diff_Biden_Trump"
"Cook County","MN",29.3,15.1,97.1,1,1.4,2.4,84.6,76.9,2691,6249,240100,1.97,57432,33194,1452.28,6.8,85.6,14.4,50.1,386,5600,5176,3.6,66659,933,"DEM",1293
"Cooke County","TX",18.9,23.6,86.1,1,3.6,18.9,74.4,69.3,15351,17076,161100,2.57,60202,30704,874.76,14.8,83.8,25,50.1,2459,41668,38437,43.9,543416,3919,"REP",-12386
"Cooper County","MO",18.3,21.6,88.7,0.7,7,2.1,87.7,72.6,6397,7495,132900,2.51,52735,23961,564.77,2.8,85.9,27.1,47.9,1238,17103,17601,31.2,301246,1062,"REP",-4023
"Coos County","OR",26.5,18.3,88.8,1.3,0.6,6.8,84.9,65.9,27025,31368,198100,2.32,45051,27582,1596.17,5.4,84.1,19.1,50.6,7366,64929,63043,39.5,745808,4388,"REP",-7586
"Coosa County","AL",24.1,16.4,80,0.2,30.9,2.6,65.1,79.2,4032,6635,84000,2.57,38990,23694,650.93,0.7,89.1,28.8,50,931,10387,11539,17.7,37904,460,"REP",-1835
"Copiah County","MS",18.3,22.7,80.2,0.4,51.9,3.3,43.9,77.2,9414,12381,95200,2.93,42151,20093,777.24,2.9,93.4,30.9,52,1091,28368,29449,37.9,181455,2104,"DEM",220
"Corson County","SD",12,36.6,83.8,0.6,0.5,5.3,29,53.8,1195,1544,58500,3.47,35759,16449,2469.69,14.9,98.7,21.6,50.3,251,3902,4050,1.6,15148,160,"REP",-25
"Cortland County","NY",16.9,19.2,90.7,1.1,2.1,2.8,92.3,65.6,17745,20872,123800,2.5,56023,28229,498.76,3.3,84.1,21.2,51.1,2769,46809,49336,98.9,694401,3063,"REP",-420
"Coryell County","TX",10.6,22.6,88,2.2,17.7,18.9,57.6,57.9,22322,27089,114300,2.71,52893,22400,1052.07,13.7,77.6,22.2,50.2,10289,83093,75388,71.7,493604,2562,"REP",-7873
"Coshocton County","OH",19.8,23.9,85.5,0.4,1.2,1.2,95.6,74,14476,16420,99200,2.5,46606,23432,563.91,8.6,87.3,24.4,50.4,2301,36612,36901,65.4,307273,2945,"REP",-8200
"Costilla County","CO",26.9,19.1,81,1.6,2.1,61.2,33.9,69,1746,2880,113000,2.14,30965,21732,1226.95,43.5,89.9,22.9,48.6,406,3499,3524,2.9,11670,235,"DEM",570
"Cottle County","TX",24.2,23,76.2,0.1,11.2,24.2,63.8,56.2,707,945,46600,2.32,32305,19797,900.56,20,79.5,15.4,51.3,86,1380,1505,1.7,11641,86,"REP",-427
"Cotton County","OK",20.5,22.1,84.5,0.3,2.4,8.4,75.7,77.8,2195,2990,76700,2.61,50885,23564,632.65,3.2,87.7,23.4,50.8,491,5527,6193,9.8,36863,466,"REP",-1724
"Cottonwood County","MN",23.1,24.6,89.4,4.1,1.3,8.4,84.7,78.1,4846,5436,94200,2.27,52087,27459,638.61,10,89.3,16.8,49.9,753,11517,11687,18.3,102814,1028,"REP",-2331
"Covington city","VA",20.2,20.5,87.3,1.2,13.1,2.4,81,74.5,2384,5274,72900,2.31,40655,25309,5.47,2.3,90.9,16.5,52.1,418,5737,5961,1090.1,158331,430,"REP",-616
"Covington County","AL",21.4,22,83.4,0.5,12.5,1.9,83.1,74.5,14852,19068,97600,2.46,42189,23687,1030.46,1.7,89.1,25,51.6,2898,37570,37765,36.6,452011,2657,"REP",-11865
"Covington County","MS",17.2,24.5,83.2,0.4,36.1,2.4,60.3,78.2,6759,8761,77100,2.77,38178,19180,413.79,1.2,96.7,28.8,51.2,1027,18340,19568,47.3,188345,1778,"REP",-2438
"Coweta County","GA",14.3,24.1,89.2,2.2,18.4,7.3,70.5,72.8,52035,56539,211600,2.74,75913,33875,440.89,8.2,86.6,31.1,51.3,10112,146158,127317,288.8,1479459,10794,"REP",-27291
